UserID, TotalActionNum, Time, Task, TaskActionNum, Address, Past_1, Past_2, Past_3, Past_4, Past_5, Future_1, Future_2, Future_3,Match_Any,Match_1,Match_2,Match_3, Past_CogLoad, Future_CogLoad
002, 1, 1648502970.072885, Start, 1, 00100000, NIL, NIL, NIL, NIL, NIL, NIL, NIL, NIL,0,0,0,0, 0.000045399929762484854, 0.0
002, 2, 1648502970.432043, Start, 2, 00100019, 00100019, 00100000, NIL, NIL, NIL, NIL, NIL, NIL,0,0,0,0, 0.00008013665501093402, 0.000027208085072354917
002, 3, 1648502987.152575, Start, 3, 00100000, 00100000, 00100019, NIL, NIL, NIL, 00100019, 00100000, NIL,0,0,0,0, 0.00028226209987263103, 0.0003732706344133993
002, 4, 1648503102.717343, Introduction, 1, 00100000, 00100000, 00100019, NIL, NIL, NIL, 00100000, 00100019, NIL,1,0,1,0, 0.0006932533047072655, 0.001533100138156831
002, 5, 1648503146.252121, Navigation_1, 1, 0010cd90, 00100000, 0010cd90, 00100019, NIL, NIL, 00100000, 00100019, NIL,0,0,0,0, 0.0010997002646959064, 0.0020767982136105784
002, 6, 1648503169.519918, Navigation_1, 2, 00100000, 00100000, 0010cd90, 00100019, NIL, NIL, 0010cd90, 00100000, 00100019,1,1,0,0, 0.001119592869777611, 0.002484907137775546
002, 7, 1648503189.865761, Navigation_2, 1, 0010cd90, 00100000, 0010cd90, 00100019, NIL, NIL, 00100000, 0010cd90, 00100019,1,1,0,0, 0.000938504801104438, 0.002920417552987557
002, 8, 1648503198.916320, Navigation_2, 2, 00100000, 00100000, 0010cd90, 00100019, NIL, NIL, 0010cd90, 00100000, 00100019,1,1,0,0, 0.000912969138992929, 0.003191195137851946
002, 9, 1648503212.021763, Navigation_3, 1, 00100034, 00100000, 00100034, 0010cd90, 00100019, NIL, 00100000, 0010cd90, 00100019,0,0,0,0, 0.001138346768437614, 0.00325485128837491
002, 10, 1648503298.776521, Navigation_3, 2, 00100000, 00100000, 0010cd90, 00100034, 00100019, NIL, 00100000, 0010cd90, 00100034,1,1,0,0, 0.001662303395693902, 0.004781709028473119
002, 11, 1648503451.107482, String_Search_1, 1, 0014069b, 00100000, 0010cd90, 0014069b, 00100034, 00100019, 00100000, 0010cd90, 00100034,0,0,0,0, 0.002819473869143027, 0.006975628040659286
002, 12, 1648503451.504035, String_Search_1, 2, 0014069b, 0014069b, 00100000, 0010cd90, 00100034, 00100019, 0014069b, 00100000, 0010cd90,0,0,0,0, 0.0022876596864515315, 0.0070085975578211826
002, 13, 1648503461.318369, String_Search_1, 3, 0014069b, 0014069b, 00100000, 0010cd90, 00100034, 00100019, 0014069b, 00100000, 0010cd90,1,1,0,0, 0.002356737555306097, 0.007374718033527179
002, 14, 1648503471.279593, String_Search_1, 4, 00140699, 0014069b, 00140699, 00100000, 0010cd90, 00100034, 0014069b, 00100000, 0010cd90,0,0,0,0, 0.002555202731065243, 0.007743644886111435
002, 15, 1648503499.077716, String_Search_1, 5, 00100000, 00100000, 0014069b, 00140699, 0010cd90, 00100034, 0014069b, 00100000, 0010cd90,1,0,1,0, 0.0027596017973114326, 0.008630350114735999
002, 16, 1648503575.822620, String_Search_2, 1, 0014069b, 00100000, 0014069b, 0010cd90, 00140699, 00100034, 0014069b, 00100000, 00140699,1,1,0,0, 0.0032100957140155945, 0.010587840604177343
002, 17, 1648503576.051403, String_Search_2, 2, 0014069b, 0014069b, 00100000, 0010cd90, 00140699, 00100034, 0014069b, 00140699, 00100000,1,1,0,0, 0.003101375105751013, 0.010614176734411472
002, 18, 1648503598.939557, String_Search_2, 3, 00100000, 00100000, 0014069b, 0010cd90, 00140699, 00100034, 0014069b, 00100000, 0010cd90,1,0,0,1, 0.003232476525716979, 0.010862124004669786
