UserID,TotalActionNum,Time,Task,TaskActionNum,Address,Past_1,Past_2,Past_3,Past_4,Past_5,Future_1,Future_2,Future_3,Match_Any,Match_1,Match_2,Match_3,Past_CogLoad,Future_CogLoad
003,1,1652460166.341007,Start,1,00100000,00100000,NIL,NIL,NIL,NIL,00100019,00100000,NIL,0,0,0,0,0.1353352832366127,0.1148357958124931
003,2,1652460166.663262,Start,2,00100019,00100019,00100000,NIL,NIL,NIL,00100000,00100019,NIL,1,1,0,0,0.23244760857778468,0.10933287645829665
003,3,1652460177.343983,Start,3,00100000,00100000,00100019,NIL,NIL,NIL,00100019,00100000,NIL,1,1,0,0,0.6765151339377466,0.2577329482121947
003,4,1652460349.977173,Navigation_1,1,00100000,00100000,NIL,NIL,NIL,NIL,00100000,00100019,0010cd90,0,0,0,0,1.7781696125762856,38.78558129295284
003,5,1652460377.224740,Navigation_1,2,00100027,00100027,00100000,NIL,NIL,NIL,00100000,0010cd90,00100019,0,0,0,0,2.619798668030045,41.69237969943719
003,6,1652460394.739628,Navigation_1,3,0010cd90,0010cd90,00100027,00100000,NIL,NIL,00100000,0010cd90,00100019,1,0,1,0,3.4672760142103813,44.04071114453245
003,7,1652460424.124938,Navigation_2,1,00100000,00100000,NIL,NIL,NIL,NIL,0010cd90,00100000,00100019,0,0,0,0,0.7336284655027784,56.29300926627947
003,8,1652460446.077064,Navigation_2,2,0010cd90,0010cd90,00100000,NIL,NIL,NIL,0010cd90,00100000,0010cd92,1,1,0,0,1.6037669981963094,61.5421994454178
003,9,1652460457.935107,Navigation_3,1,00100000,00100000,NIL,NIL,NIL,NIL,0010cd90,00100000,00100019,0,0,0,0,0.46603393942735355,65.38869197199897
003,10,1652460530.603633,Navigation_3,2,0010cc90,0010cc90,00100000,NIL,NIL,NIL,0010cd90,00100000,00100019,0,0,0,0,2.397926959009604,80.63840816564594
003,11,1652460542.099812,Navigation_3,3,0010cd90,0010cd90,0010cc90,00100000,NIL,NIL,0010cd90,00100000,00100019,1,1,0,0,3.026618478342372,83.13744914075535
003,12,1652460550.885497,String_Search_1,1,00100000,00100000,NIL,NIL,NIL,NIL,0014069b,00100000,0010cd90,0,0,0,0,0.4011426616469746,87.16635158439735
