Time,pupilDilation,gazeX,gazeY,gazeVelocity,movingRmssd,deltaGSRsmooth,Agg_stress,Agg_cogLoad
1652458966.9739063,0.0154441084,1839.6074881622,664.3060890532,0.0002748227,-10.4918607027,11.9536024756,0.7308708865,5.984523292
1652458967.9739063,0.1052300417,1465.4836046653,527.8871884188,-0.2784572797,-8.7891522169,-0.1156405011,-4.452396359,-0.0052052297
1652458968.9739063,0.7075963666,1935.3950581202,541.4257934871,-0.3085320574,-9.253412266,-0.0704794214,-4.6619458437,0.3185584726
1652458969.9739063,1.2733805999,1417.1408615813,584.2645677083,-0.1629838047,-11.3602500016,0.1253116387,-5.6174691814,0.6993461193
1652458970.9739063,1.4677956748,1296.4460333482,619.4182183144,-0.3802731928,-11.2162900637,1.3607938523,-4.9277481057,1.4142947636
1652458971.9739063,1.0178163713,1334.9120279484,701.401955967,0.6727897801,-10.5560213663,0.3249282582,-5.1155465541,0.6713723147
1652458972.9739063,0.8032270006,1715.4108558368,656.4600272142,-0.2757724458,-11.5583003551,-0.8339493658,-6.1961248604,-0.0153611826
1652458973.9739063,1.0904838858,1842.3067345849,630.8256342188,-0.0853108673,-12.245040056,1.3721666176,-5.4364367192,1.2313252517
1652458974.9739063,1.535445928,1428.8929253749,709.0691161523,-0.2751842369,-12.691359113,2.7824247136,-4.9544671997,2.1589353208
1652458975.9739063,1.4930204645,2006.3303659872,714.3295169886,-0.3043391754,-1.3653248587,1.4157044623,0.0251898018,1.4543624634
1652458976.9739063,1.5880917101,1433.7870416213,641.4116230515,-0.0279393758,0.0439158043,1.0057970133,0.5248564088,1.2969443617
1652458977.9739063,1.8220186294,1581.0106256958,508.2480165135,-0.2793505529,0.1531093981,0.0707942696,0.1119518338,0.9464064495
1652458978.9739063,1.405705748,1983.2809622077,516.1409405885,-0.3550272154,0.0574591577,-1.7409857051,-0.8417632737,-0.1676399785
1652458979.9739063,1.6896265568,1322.9150271341,601.936260258,-0.1209787311,0.0414309849,-0.6026593599,-0.2806141875,0.5434835984
1652458980.9739063,1.1133544902,1780.2011373091,632.0761025052,-0.3016418967,0.0464953074,1.5567495234,0.8016224154,1.3350520068
1652458981.9739063,0.855286134,1920.6065159854,646.6869648951,-0.1365598138,0.1735274768,-0.9398353264,-0.3831539248,-0.0422745962
1652458982.9739063,1.1443954356,1368.6979247409,715.2977949109,-0.2651933382,0.2114724747,-1.2247111775,-0.5066193514,-0.0401578709
1652458983.9739063,1.2113883712,1739.2196436901,732.9668437034,-0.3530277508,0.2114724747,-0.1140055563,0.0487334592,0.5486914075
1652458984.9739063,1.3584132909,2042.5281728987,729.9741387758,-0.3749120235,0.2114724747,0.0502469564,0.1308597155,0.7043301236
1652458985.9739063,1.3678033737,1324.0186414847,759.9348430294,-0.1751778519,0.2114724747,-0.5108101087,-0.149668817,0.4284966325
