UserID,Time,TaskLoad,Engagement
004,1661806110.466,1.623,0.22
004,1661806110.966,6.892,0.207
004,1661806111.466,2.586,0.222
004,1661806111.966,4.283,0.273
004,1661806112.466,1.982,0.326
004,1661806112.966,1.999,0.307
004,1661806113.466,4.063,0.263
004,1661806113.966,3.476,0.313
004,1661806114.466,2.927,0.353
004,1661806114.967,1.014,2.122
004,1661806115.467,0.564,1.884
004,1661806115.967,0.727,1.351
004,1661806116.467,2.516,0.609
004,1661806116.967,1.95,0.44
004,1661806117.467,1.522,0.486
004,1661806117.967,0.758,1.838
004,1661806118.467,2.114,0.913
004,1661806118.967,1.688,1.401
004,1661806119.467,9.766,1.068
004,1661806119.967,2.359,0.481
004,1661806120.467,2.622,0.529
004,1661806120.967,5.282,0.257
004,1661806121.467,4.507,0.204
004,1661806121.967,4.412,0.134
004,1661806122.467,7.822,0.163
004,1661806122.967,4.761,0.185
004,1661806123.467,4.682,0.181
004,1661806123.967,5.774,0.101
004,1661806124.468,3.043,0.18
004,1661806124.968,5.157,0.177
004,1661806125.468,5.218,0.124
004,1661806125.968,2.03,0.285
004,1661806126.468,1.756,0.757
004,1661806126.968,4.494,0.907
004,1661806127.468,2.977,0.508
004,1661806127.968,1.177,0.721
004,1661806128.468,3.255,0.716
004,1661806128.968,3.263,0.284
004,1661806129.468,2.484,1.239
004,1661806129.968,1.798,0.741
004,1661806130.468,2.175,0.281
004,1661806130.968,4.51,0.251
004,1661806131.468,5.436,0.196
004,1661806131.968,1.601,0.57
004,1661806132.468,6.514,0.427
004,1661806132.968,2.77,0.362
004,1661806133.468,1.771,0.263
004,1661806133.968,6.462,0.127
004,1661806134.469,2.119,0.192
004,1661806134.969,2.223,0.226
004,1661806135.469,11.648,0.11
004,1661806135.969,5.2,0.254
004,1661806136.469,2.798,0.416
004,1661806136.969,2.586,0.179
004,1661806137.469,1.579,0.277
004,1661806137.969,3.192,0.148
004,1661806138.469,5.213,0.167
004,1661806138.969,2.531,0.393
004,1661806139.469,2.172,0.37
004,1661806139.969,2.196,0.27
004,1661806140.469,0.902,1.598
004,1661806140.969,1.633,0.854
004,1661806141.469,7.901,0.112
004,1661806141.969,2.537,0.152
004,1661806142.469,5.961,0.359
004,1661806142.969,15.645,0.301
004,1661806143.469,1.35,0.898
004,1661806143.969,2.188,0.552
004,1661806144.470,2.338,0.837
004,1661806144.970,0.992,1.252
004,1661806145.470,1.408,0.906
004,1661806145.970,1.435,0.697
004,1661806146.470,2.34,0.429
004,1661806146.970,2.428,0.607
004,1661806147.470,5.599,0.87
004,1661806147.970,2.409,0.63
004,1661806148.470,3.289,0.686
004,1661806148.970,6.634,0.14
004,1661806149.470,2.228,0.169
004,1661806149.970,3.089,0.255
004,1661806150.470,2.77,0.208
004,1661806150.970,2.625,0.105
004,1661806151.470,2.775,0.383
004,1661806151.970,1.343,1.842
004,1661806152.470,1.928,0.815
004,1661806152.970,2.803,0.283
004,1661806153.470,3.6,0.353
004,1661806153.970,2.202,0.412
004,1661806154.471,2.608,0.293
004,1661806154.971,4.014,0.213
004,1661806155.471,3.327,0.187
004,1661806155.971,3.347,0.239
004,1661806156.471,1.536,0.273
004,1661806156.971,1.061,0.317
004,1661806157.471,2.039,0.241
004,1661806157.971,3.996,0.22
004,1661806158.471,3.356,0.436
004,1661806158.971,2.598,0.186
004,1661806159.471,2.74,0.217
004,1661806159.971,3.928,0.135
004,1661806160.471,2.376,0.327
004,1661806160.971,5.285,0.157
004,1661806161.471,4.213,0.155
004,1661806161.971,2.369,0.249
004,1661806162.471,2.193,0.236
004,1661806162.971,3.198,0.34
004,1661806163.471,3.417,0.277
004,1661806163.971,4.327,0.149
004,1661806164.472,2.827,0.234
004,1661806164.972,3.306,0.201
004,1661806165.472,3.464,0.21
004,1661806165.972,1.963,0.307
004,1661806166.472,2.944,0.098
004,1661806166.972,5.327,0.142
004,1661806167.472,5.186,0.112
004,1661806167.972,1.371,0.572
004,1661806168.472,4.562,0.631
004,1661806168.972,0.976,1.101
004,1661806169.472,2.006,0.553
004,1661806169.972,1.259,0.499
004,1661806170.472,3.5,0.463
004,1661806170.972,13.029,0.177
004,1661806171.472,2.036,0.296
004,1661806171.972,3.049,0.213
004,1661806172.472,1.762,0.224
004,1661806172.972,1.502,0.29
004,1661806173.472,1.896,0.201
004,1661806173.972,3.048,0.23
004,1661806174.473,1.621,0.354
004,1661806174.973,2.281,0.236
004,1661806175.473,3.353,0.143
004,1661806175.973,1.239,0.344
004,1661806176.473,1.773,0.329
004,1661806176.973,3.113,0.235
004,1661806177.473,2.791,0.303
004,1661806177.973,1.97,0.359
004,1661806178.473,2.582,0.214
004,1661806178.973,2.043,0.285
004,1661806179.473,1.772,0.259
004,1661806179.973,5.025,0.153
004,1661806180.473,2.575,0.28
004,1661806180.973,2.378,0.236
004,1661806181.473,3.179,0.348
004,1661806181.973,13.999,0.14
004,1661806182.473,4.683,0.278
004,1661806182.973,4.148,0.379
004,1661806183.473,1.746,0.867
004,1661806183.973,11.51,0.16
004,1661806184.474,4.821,0.3
004,1661806184.974,1.639,0.48
004,1661806185.474,1.036,0.386
004,1661806185.974,7.199,0.134
004,1661806186.474,4.552,0.491
004,1661806186.974,15.689,0.152
004,1661806187.474,2.496,0.627
004,1661806187.974,3.895,0.257
004,1661806188.474,2.748,0.294
004,1661806188.974,4.727,0.204
004,1661806189.474,1.752,0.264
004,1661806189.974,1.799,0.285
004,1661806190.474,2.201,0.345
004,1661806190.974,1.708,0.255
004,1661806191.474,1.998,0.337
004,1661806191.974,2.416,0.22
004,1661806192.474,1.214,0.366
004,1661806192.974,3.574,0.238
004,1661806193.474,2.075,0.369
004,1661806193.974,17.746,0.066
004,1661806194.475,1.737,0.263
004,1661806194.975,2.475,0.31
004,1661806195.475,8.357,0.086
004,1661806195.975,2.274,0.157
004,1661806196.475,2.732,0.288
004,1661806196.975,3.475,0.251
004,1661806197.475,1.717,0.246
004,1661806197.975,2.602,0.192
004,1661806198.475,1.918,0.214
004,1661806198.975,2.335,0.22
004,1661806199.475,5.254,0.218
004,1661806199.975,3.612,0.203
004,1661806200.475,2.51,0.301
004,1661806200.975,1.919,0.349
004,1661806201.475,5.27,0.153
004,1661806201.975,2.301,0.32
004,1661806202.475,1.091,0.272
004,1661806202.975,5.472,0.207
004,1661806203.475,2.163,0.162
